科类,年份,分数,最低位次,最高位次,同分人数
文科,2023,246,134375,134392,18
文科,2023,245,134393,134404,12
文科,2023,244,134405,134418,14
文科,2023,243,134419,134428,10
文科,2023,242,134429,134443,15
文科,2023,241,134444,134457,14
文科,2023,240,134458,134465,8
文科,2023,239,134466,134475,10
文科,2023,238,134476,134486,11
文科,2023,237,134487,134496,10
文科,2023,236,134497,134507,11
文科,2023,235,134508,134516,9
文科,2023,234,134517,134521,5
文科,2023,233,134522,134527,6
文科,2023,232,134528,134535,8
文科,2023,231,134536,134545,10
文科,2023,230,134546,134554,9
文科,2023,229,134555,134568,14
文科,2023,228,134569,134571,3
文科,2023,227,134572,134579,8
文科,2023,226,134580,134585,6
文科,2023,225,134586,134593,8
文科,2023,224,134594,134599,6
文科,2023,223,134600,134608,9
文科,2023,222,134609,134614,6
文科,2023,221,134615,134618,4
文科,2023,220,134619,134621,3
文科,2023,219,134622,134629,8
文科,2023,218,134630,134633,4
文科,2023,217,134634,134640,7
文科,2023,216,134641,134641,1
文科,2023,215,134642,134646,5
文科,2023,214,134647,134651,5
文科,2023,213,134652,134653,2
文科,2023,212,134654,134657,4
文科,2023,211,134658,134660,3
文科,2023,210,134661,134665,5
文科,2023,209,134666,134670,5
文科,2023,208,134671,134673,3
文科,2023,207,134674,134676,3
文科,2023,206,134677,134677,1
文科,2023,205,134678,134684,7
文科,2023,204,134685,134687,3
文科,2023,203,134688,134688,1
文科,2023,202,134688,134688,0
文科,2023,201,134689,134692,4
文科,2023,200,134693,134697,5
文科,2023,190,134698,134726,29
文科,2023,180,134727,134744,18
文科,2023,170,134745,134766,22
文科,2023,160,134767,134790,24
文科,2023,150,134791,134804,14
文科,2023,140,134805,134818,14
文科,2023,130,134819,134828,10
文科,2023,120,134829,134834,6
文科,2023,110,134835,134840,6
文科,2023,100,134841,134846,6
文科,2022,680,1,51,51
文科,2022,679,52,55,4
文科,2022,678,56,58,3
文科,2022,677,59,63,5
文科,2022,676,64,65,2
文科,2022,675,66,69,4
文科,2022,674,69,69,0
文科,2022,673,70,79,10
文科,2022,672,80,82,3
文科,2022,671,83,92,10
文科,2022,670,93,100,8
文科,2022,669,101,112,12
文科,2022,668,113,118,6
文科,2022,667,119,129,11
文科,2022,666,130,148,19
文科,2022,665,149,158,10
文科,2022,664,159,167,9
文科,2022,663,168,184,17
文科,2022,662,185,205,21
文科,2022,661,206,224,19
文科,2022,660,225,242,18
文科,2022,659,243,262,20
文科,2022,658,263,290,28
文科,2022,657,291,316,26
文科,2022,656,317,333,17
文科,2022,655,334,357,24
文科,2022,654,358,381,24
文科,2022,653,382,417,36
文科,2022,652,418,445,28
文科,2022,651,446,479,34
文科,2022,650,480,510,31
文科,2022,649,511,549,39
文科,2022,648,550,573,24
文科,2022,647,574,612,39
文科,2022,646,613,649,37
文科,2022,645,650,698,49
文科,2022,644,699,734,36
文科,2022,643,735,775,41
文科,2022,642,776,828,53
文科,2022,641,829,876,48
文科,2022,640,877,925,49
文科,2022,639,926,979,54
文科,2022,638,980,1049,70
文科,2022,637,1050,1119,70
文科,2022,636,1120,1188,69
文科,2022,635,1189,1254,66
文科,2022,634,1255,1324,70
文科,2022,633,1325,1396,72
文科,2022,632,1397,1477,81
文科,2022,631,1478,1563,86
文科,2022,630,1564,1650,87
文科,2022,629,1651,1741,91
文科,2022,628,1742,1832,91
文科,2022,627,1833,1929,97
文科,2022,626,1930,2029,100
文科,2022,625,2030,2148,119
文科,2022,624,2149,2268,120
文科,2022,623,2269,2364,96
文科,2022,622,2365,2473,109
文科,2022,621,2474,2594,121
文科,2022,620,2595,2712,118
文科,2022,619,2713,2845,133
文科,2022,618,2846,2966,121
文科,2022,617,2967,3091,125
文科,2022,616,3092,3198,107
文科,2022,615,3199,3317,119
文科,2022,614,3318,3458,141
文科,2022,613,3459,3595,137
文科,2022,612,3596,3745,150
文科,2022,611,3746,3874,129
文科,2022,610,3875,4001,127
文科,2022,609,4002,4160,159
文科,2022,608,4161,4331,171
文科,2022,607,4332,4502,171
文科,2022,606,4503,4665,163
文科,2022,605,4666,4863,198
文科,2022,604,4864,5030,167
文科,2022,603,5031,5206,176
文科,2022,602,5207,5381,175
文科,2022,601,5382,5564,183
文科,2022,600,5565,5747,183
文科,2022,599,5748,5931,184
文科,2022,598,5932,6106,175
文科,2022,597,6107,6300,194
文科,2022,596,6301,6512,212
文科,2022,595,6513,6731,219
文科,2022,594,6732,6947,216
文科,2022,593,6948,7165,218
文科,2022,592,7166,7384,219
文科,2022,591,7385,7639,255
文科,2022,590,7640,7887,248
文科,2022,589,7888,8149,262
文科,2022,588,8150,8407,258
文科,2022,587,8408,8638,231
文科,2022,586,8639,8914,276
文科,2022,585,8915,9187,273
文科,2022,584,9188,9438,251
文科,2022,583,9439,9692,254
文科,2022,582,9693,9976,284
文科,2022,581,9977,10244,268
文科,2022,580,10245,10502,258
文科,2022,579,10503,10819,317
文科,2022,578,10820,11127,308
文科,2022,577,11128,11424,297
文科,2022,576,11425,11722,298
文科,2022,575,11723,12017,295
文科,2022,574,12018,12339,322
文科,2022,573,12340,12658,319
文科,2022,572,12659,12981,323
文科,2022,571,12982,13318,337
文科,2022,570,13319,13660,342
文科,2022,569,13661,13993,333
文科,2022,568,13994,14351,358
文科,2022,567,14352,14688,337
文科,2022,566,14689,15064,376
文科,2022,565,15065,15443,379
文科,2022,564,15444,15820,377
文科,2022,563,15821,16180,360
文科,2022,562,16181,16554,374
文科,2022,561,16555,16941,387
文科,2022,560,16942,17327,386
文科,2022,559,17328,17661,334
文科,2022,558,17662,18078,417
文科,2022,557,18079,18507,429
文科,2022,556,18508,18912,405
文科,2022,555,18913,19295,383
文科,2022,554,19296,19704,409
文科,2022,553,19705,20082,378
文科,2022,552,20083,20558,476
文科,2022,551,20559,21000,442
文科,2022,550,21001,21469,469
文科,2022,549,21470,21917,448
文科,2022,548,21918,22383,466
文科,2022,547,22384,22802,419
文科,2022,546,22803,23259,457
文科,2022,545,23260,23728,469
文科,2022,544,23729,24189,461
文科,2022,543,24190,24624,435
文科,2022,542,24625,25080,456
文科,2022,541,25081,25580,500
文科,2022,540,25581,26061,481
文科,2022,539,26062,26559,498
文科,2022,538,26560,26991,432
文科,2022,537,26992,27459,468
文科,2022,536,27460,28001,542
文科,2022,535,28002,28498,497
文科,2022,534,28499,28965,467
文科,2022,533,28966,29451,486
文科,2022,532,29452,29912,461
文科,2022,531,29913,30402,490
文科,2022,530,30403,30936,534
文科,2022,529,30937,31451,515
文科,2022,528,31452,31961,510
文科,2022,527,31962,32459,498
文科,2022,526,32460,33003,544
文科,2022,525,33004,33544,541
文科,2022,524,33545,34080,536
文科,2022,523,34081,34596,516
文科,2022,522,34597,35113,517
文科,2022,521,35114,35645,532
文科,2022,520,35646,36154,509
文科,2022,519,36155,36699,545
文科,2022,518,36700,37240,541
文科,2022,517,37241,37818,578
文科,2022,516,37819,38396,578
文科,2022,515,38397,38916,520
文科,2022,514,38917,39454,538
文科,2022,513,39455,39980,526
文科,2022,512,39981,40509,529
文科,2022,511,40510,41061,552
文科,2022,510,41062,41622,561
文科,2022,509,41623,42184,562
文科,2022,508,42185,42746,562
文科,2022,507,42747,43269,523
文科,2022,506,43270,43865,596
文科,2022,505,43866,44468,603
文科,2022,504,44469,45042,574
文科,2022,503,45043,45626,584
文科,2022,502,45627,46228,602
文科,2022,501,46229,46827,599
文科,2022,500,46828,47374,547
文科,2022,499,47375,47948,574
文科,2022,498,47949,48560,612
文科,2022,497,48561,49127,567
文科,2022,496,49128,49702,575
文科,2022,495,49703,50269,567
文科,2022,494,50270,50883,614
文科,2022,493,50884,51485,602
文科,2022,492,51486,52099,614
文科,2022,491,52100,52702,603
文科,2022,490,52703,53287,585
文科,2022,489,53288,53878,591
文科,2022,488,53879,54483,605
文科,2022,487,54484,55078,595
文科,2022,486,55079,55625,547
文科,2022,485,55626,56198,573
文科,2022,484,56199,56799,601
文科,2022,483,56800,57413,614
文科,2022,482,57414,58049,636
文科,2022,481,58050,58661,612
文科,2022,480,58662,59224,563
文科,2022,479,59225,59817,593
文科,2022,478,59818,60431,614
文科,2022,477,60432,61027,596
文科,2022,476,61028,61626,599
文科,2022,475,61627,62282,656
文科,2022,474,62283,62864,582
文科,2022,473,62865,63481,617
文科,2022,472,63482,64115,634
文科,2022,471,64116,64743,628
文科,2022,470,64744,65300,557
文科,2022,469,65301,65917,617
文科,2022,468,65918,66526,609
文科,2022,467,66527,67133,607
文科,2022,466,67134,67758,625
文科,2022,465,67759,68384,626
文科,2022,464,68385,68965,581
文科,2022,463,68966,69579,614
文科,2022,462,69580,70231,652
文科,2022,461,70232,70841,610
文科,2022,460,70842,71498,657
文科,2022,459,71499,72097,599
文科,2022,458,72098,72700,603
文科,2022,457,72701,73334,634
文科,2022,456,73335,73950,616
文科,2022,455,73951,74557,607
文科,2022,454,74558,75154,597
文科,2022,453,75155,75812,658
文科,2022,452,75813,76418,606
文科,2022,451,76419,77025,607
文科,2022,450,77026,77659,634
文科,2022,449,77660,78268,609
文科,2022,448,78269,78897,629
文科,2022,447,78898,79518,621
文科,2022,446,79519,80110,592
文科,2022,445,80111,80735,625
文科,2022,444,80736,81336,601
文科,2022,443,81337,81958,622
文科,2022,442,81959,82580,622
文科,2022,441,82581,83237,657
文科,2022,440,83238,83834,597
文科,2022,439,83835,84471,637
文科,2022,438,84472,85102,631
文科,2022,437,85103,85712,610
文科,2022,436,85713,86357,645
文科,2022,435,86358,86987,630
文科,2022,434,86988,87554,567
文科,2022,433,87555,88157,603
文科,2022,432,88158,88781,624
文科,2022,431,88782,89332,551
文科,2022,430,89333,89945,613
文科,2022,429,89946,90569,624
文科,2022,428,90570,91192,623
文科,2022,427,91193,91769,577
文科,2022,426,91770,92377,608
文科,2022,425,92378,92985,608
文科,2022,424,92986,93553,568
文科,2022,423,93554,94113,560
文科,2022,422,94114,94719,606
文科,2022,421,94720,95269,550
文科,2022,420,95270,95836,567
文科,2022,419,95837,96435,599
文科,2022,418,96436,97004,569
文科,2022,417,97005,97567,563
文科,2022,416,97568,98162,595
文科,2022,415,98163,98668,506
文科,2022,414,98669,99231,563
文科,2022,413,99232,99773,542
文科,2022,412,99774,100309,536
文科,2022,411,100310,100829,520
文科,2022,410,100830,101370,541
文科,2022,409,101371,101933,563
文科,2022,408,101934,102499,566
文科,2022,407,102500,103047,548
文科,2022,406,103048,103574,527
文科,2022,405,103575,104051,477
文科,2022,404,104052,104569,518
文科,2022,403,104570,105108,539
文科,2022,402,105109,105618,510
文科,2022,401,105619,106110,492
文科,2022,400,106111,106648,538
文科,2022,399,106649,107160,512
文科,2022,398,107161,107646,486
文科,2022,397,107647,108128,482
文科,2022,396,108129,108617,489
文科,2022,395,108618,109064,447
文科,2022,394,109065,109527,463
文科,2022,393,109528,109997,470
文科,2022,392,109998,110457,460
文科,2022,391,110458,110933,476
文科,2022,390,110934,111412,479
文科,2022,389,111413,111879,467
文科,2022,388,111880,112312,433
文科,2022,387,112313,112722,410
文科,2022,386,112723,113175,453
文科,2022,385,113176,113620,445
文科,2022,384,113621,114050,430
文科,2022,383,114051,114477,427
文科,2022,382,114478,114897,420
文科,2022,381,114898,115275,378
文科,2022,380,115276,115678,403
文科,2022,379,115679,116084,406
文科,2022,378,116085,116486,402
文科,2022,377,116487,116864,378
文科,2022,376,116865,117240,376
文科,2022,375,117241,117598,358
文科,2022,374,117599,117972,374
文科,2022,373,117973,118301,329
文科,2022,372,118302,118631,330
文科,2022,371,118632,118991,360
文科,2022,370,118992,119324,333
文科,2022,369,119325,119690,366
文科,2022,368,119691,120007,317
文科,2022,367,120008,120345,338
文科,2022,366,120346,120672,327
文科,2022,365,120673,121016,344
文科,2022,364,121017,121334,318
文科,2022,363,121335,121655,321
文科,2022,362,121656,121943,288
文科,2022,361,121944,122247,304
文科,2022,360,122248,122527,280
文科,2022,359,122528,122821,294
文科,2022,358,122822,123091,270
文科,2022,357,123092,123351,260
文科,2022,356,123352,123618,267
文科,2022,355,123619,123902,284
文科,2022,354,123903,124171,269
文科,2022,353,124172,124444,273
文科,2022,352,124445,124724,280
文科,2022,351,124725,124957,233
文科,2022,350,124958,125193,236
文科,2022,349,125194,125431,238
文科,2022,348,125432,125659,228
文科,2022,347,125660,125888,229
文科,2022,346,125889,126129,241
文科,2022,345,126130,126367,238
文科,2022,344,126368,126581,214
文科,2022,343,126582,126793,212
文科,2022,342,126794,126992,199
文科,2022,341,126993,127193,201
文科,2022,340,127194,127409,216
文科,2022,339,127410,127604,195
文科,2022,338,127605,127792,188
文科,2022,337,127793,127989,197
文科,2022,336,127990,128155,166
文科,2022,335,128156,128303,148
文科,2022,334,128304,128477,174
文科,2022,333,128478,128627,150
文科,2022,332,128628,128793,166
文科,2022,331,128794,128953,160
文科,2022,330,128954,129105,152
文科,2022,329,129106,129270,165
文科,2022,328,129271,129426,156
文科,2022,327,129427,129579,153
文科,2022,326,129580,129713,134
文科,2022,325,129714,129856,143
文科,2022,324,129857,129992,136
文科,2022,323,129993,130141,149
文科,2022,322,130142,130261,120
文科,2022,321,130262,130367,106
文科,2022,320,130368,130487,120
文科,2022,319,130488,130597,110
文科,2022,318,130598,130688,91
文科,2022,317,130689,130792,104
文科,2022,316,130793,130887,95
文科,2022,315,130888,130997,110
文科,2022,314,130998,131108,111
文科,2022,313,131109,131210,102
文科,2022,312,131211,131305,95
文科,2022,311,131306,131398,93
文科,2022,310,131399,131483,85
文科,2022,309,131484,131562,79
文科,2022,308,131563,131652,90
文科,2022,307,131653,131717,65
文科,2022,306,131718,131807,90
文科,2022,305,131808,131872,65
文科,2022,304,131873,131944,72
文科,2022,303,131945,132009,65
文科,2022,302,132010,132094,85
文科,2022,301,132095,132171,77
文科,2022,300,132172,132245,74
文科,2022,299,132246,132297,52
文科,2022,298,132298,132358,61
文科,2022,297,132359,132438,80
文科,2022,296,132439,132486,48
文科,2022,295,132487,132540,54
文科,2022,294,132541,132586,46
文科,2022,293,132587,132640,54
文科,2022,292,132641,132690,50
文科,2022,291,132691,132738,48
文科,2022,290,132739,132784,46
文科,2022,289,132785,132827,43
文科,2022,288,132828,132877,50
文科,2022,287,132878,132935,58
文科,2022,286,132936,132974,39
文科,2022,285,132975,133014,40
文科,2022,284,133015,133044,30
文科,2022,283,133045,133080,36
文科,2022,282,133081,133114,34
文科,2022,281,133115,133143,29
文科,2022,280,133144,133186,43
文科,2022,279,133187,133212,26
文科,2022,278,133213,133248,36
文科,2022,277,133249,133280,32
文科,2022,276,133281,133315,35
文科,2022,275,133316,133344,29
文科,2022,274,133345,133377,33
文科,2022,273,133378,133404,27
文科,2022,272,133405,133424,20
文科,2022,271,133425,133453,29
文科,2022,270,133454,133478,25
文科,2022,269,133479,133504,26
文科,2022,268,133505,133525,21
文科,2022,267,133526,133546,21
文科,2022,266,133547,133567,21
文科,2022,265,133568,133581,14
文科,2022,264,133582,133617,36
文科,2022,263,133618,133643,26
文科,2022,262,133644,133663,20
文科,2022,261,133664,133693,30
文科,2022,260,133694,133710,17
文科,2022,259,133711,133726,16
文科,2022,258,133727,133746,20
文科,2022,257,133747,133759,13
文科,2022,256,133760,133769,10
文科,2022,255,133770,133788,19
文科,2022,254,133789,133804,16
文科,2022,253,133805,133818,14
文科,2022,252,133819,133833,15
文科,2022,251,133834,133849,16
文科,2022,250,133850,133860,11
文科,2022,249,133861,133872,12
文科,2022,248,133873,133884,12
文科,2022,247,133885,133894,10
文科,2022,246,133895,133901,7
文科,2022,245,133902,133912,11
文科,2022,244,133913,133926,14
文科,2022,243,133927,133930,4
文科,2022,242,133931,133942,12
文科,2022,241,133943,133952,10
文科,2022,240,133953,133958,6
文科,2022,239,133959,133964,6
文科,2022,238,133965,133970,6
文科,2022,237,133971,133975,5
文科,2022,236,133976,133982,7
文科,2022,235,133983,133987,5
文科,2022,234,133988,133993,6
文科,2022,233,133994,134001,8
文科,2022,232,134002,134008,7
文科,2022,231,134009,134015,7
文科,2022,230,134016,134019,4
文科,2022,229,134020,134026,7
文科,2022,228,134027,134033,7
文科,2022,227,134034,134037,4
文科,2022,226,134038,134043,6
文科,2022,225,134044,134049,6
文科,2022,224,134050,134054,5
文科,2022,223,134055,134063,9
文科,2022,222,134064,134069,6
文科,2022,221,134070,134071,2
文科,2022,220,134072,134073,2
文科,2022,219,134074,134074,1
文科,2022,218,134075,134077,3
文科,2022,217,134078,134081,4
文科,2022,216,134082,134088,7
文科,2022,215,134089,134095,7
文科,2022,214,134096,134098,3
文科,2022,213,134099,134106,8
文科,2022,212,134107,134112,6
文科,2022,211,134113,134116,4
文科,2022,210,134117,134123,7
文科,2022,209,134124,134131,8
文科,2022,208,134132,134135,4
文科,2022,207,134136,134137,2
文科,2022,206,134138,134138,1
文科,2022,205,134139,134139,1
文科,2022,204,134140,134142,3
文科,2022,203,134143,134145,3
文科,2022,202,134146,134147,2
文科,2022,201,134148,134149,2
文科,2022,200,134150,134151,2
文科,2022,190,134152,134169,18
文科,2022,180,134170,134197,28
文科,2022,170,134198,134218,21
文科,2022,160,134219,134230,12
文科,2022,150,134231,134240,10
文科,2022,140,134241,134252,12
文科,2022,130,134253,134259,7
文科,2022,120,134260,134265,6
文科,2022,110,134266,134272,7
文科,2022,100,134273,134275,3
文科,2021,675,1,54,54
文科,2021,674,55,60,6
文科,2021,673,61,63,3
文科,2021,672,64,68,5
文科,2021,671,69,72,4
文科,2021,670,73,75,3
文科,2021,669,76,82,7
文科,2021,668,83,87,5
文科,2021,667,88,101,14
文科,2021,666,102,112,11
文科,2021,665,113,119,7
文科,2021,664,120,133,14
文科,2021,663,134,137,4
文科,2021,662,138,151,14
文科,2021,661,152,168,17
文科,2021,660,169,185,17
文科,2021,659,186,198,13
文科,2021,658,199,213,15
文科,2021,657,214,235,22
文科,2021,656,236,257,22
文科,2021,655,258,277,20
文科,2021,654,278,296,19
文科,2021,653,297,318,22
文科,2021,652,319,338,20
文科,2021,651,339,358,20
文科,2021,650,359,383,25
文科,2021,649,384,401,18
文科,2021,648,402,430,29
文科,2021,647,431,454,24
文科,2021,646,455,483,29
文科,2021,645,484,518,35
文科,2021,644,519,551,33
文科,2021,643,552,585,34
文科,2021,642,586,617,32
文科,2021,641,618,655,38
文科,2021,640,656,688,33
文科,2021,639,689,724,36
文科,2021,638,725,780,56
文科,2021,637,781,825,45
文科,2021,636,826,870,45
文科,2021,635,871,911,41
文科,2021,634,912,964,53
文科,2021,633,965,1004,40
文科,2021,632,1005,1061,57
文科,2021,631,1062,1116,55
文科,2021,630,1117,1182,66
文科,2021,629,1183,1250,68
文科,2021,628,1251,1293,43
文科,2021,627,1294,1361,68
文科,2021,626,1362,1419,58
文科,2021,625,1420,1492,73
文科,2021,624,1493,1577,85
文科,2021,623,1578,1643,66
文科,2021,622,1644,1736,93
文科,2021,621,1737,1815,79
文科,2021,620,1816,1890,75
文科,2021,619,1891,1975,85
文科,2021,618,1976,2074,99
文科,2021,617,2075,2176,102
文科,2021,616,2177,2288,112
文科,2021,615,2289,2371,83
文科,2021,614,2372,2454,83
文科,2021,613,2455,2557,103
文科,2021,612,2558,2664,107
文科,2021,611,2665,2771,107
文科,2021,610,2772,2879,108
文科,2021,609,2880,2995,116
文科,2021,608,2996,3114,119
文科,2021,607,3115,3224,110
文科,2021,606,3225,3340,116
文科,2021,605,3341,3461,121
文科,2021,604,3462,3613,152
文科,2021,603,3614,3746,133
文科,2021,602,3747,3890,144
文科,2021,601,3891,4024,134
文科,2021,600,4025,4156,132
文科,2021,599,4157,4296,140
文科,2021,598,4297,4434,138
文科,2021,597,4435,4595,161
文科,2021,596,4596,4773,178
文科,2021,595,4774,4919,146
文科,2021,594,4920,5086,167
文科,2021,593,5087,5264,178
文科,2021,592,5265,5458,194
文科,2021,591,5459,5633,175
文科,2021,590,5634,5837,204
文科,2021,589,5838,6046,209
文科,2021,588,6047,6226,180
文科,2021,587,6227,6448,222
文科,2021,586,6449,6648,200
文科,2021,585,6649,6861,213
文科,2021,584,6862,7083,222
文科,2021,583,7084,7300,217
文科,2021,582,7301,7501,201
文科,2021,581,7502,7715,214
文科,2021,580,7716,7958,243
文科,2021,579,7959,8214,256
文科,2021,578,8215,8460,246
文科,2021,577,8461,8714,254
文科,2021,576,8715,8966,252
文科,2021,575,8967,9198,232
文科,2021,574,9199,9469,271
文科,2021,573,9470,9720,251
文科,2021,572,9721,9998,278
文科,2021,571,9999,10280,282
文科,2021,570,10281,10514,234
文科,2021,569,10515,10766,252
文科,2021,568,10767,11042,276
文科,2021,567,11043,11328,286
文科,2021,566,11329,11618,290
文科,2021,565,11619,11937,319
文科,2021,564,11938,12224,287
文科,2021,563,12225,12540,316
文科,2021,562,12541,12875,335
文科,2021,561,12876,13187,312
文科,2021,560,13188,13510,323
文科,2021,559,13511,13822,312
文科,2021,558,13823,14168,346
文科,2021,557,14169,14474,306
文科,2021,556,14475,14840,366
文科,2021,555,14841,15170,330
文科,2021,554,15171,15527,357
文科,2021,553,15528,15883,356
文科,2021,552,15884,16256,373
文科,2021,551,16257,16641,385
文科,2021,550,16642,17024,383
文科,2021,549,17025,17406,382
文科,2021,548,17407,17775,369
文科,2021,547,17776,18165,390
文科,2021,546,18166,18545,380
文科,2021,545,18546,18920,375
文科,2021,544,18921,19317,397
文科,2021,543,19318,19725,408
文科,2021,542,19726,20161,436
文科,2021,541,20162,20522,361
文科,2021,540,20523,20928,406
文科,2021,539,20929,21330,402
文科,2021,538,21331,21762,432
文科,2021,537,21763,22229,467
文科,2021,536,22230,22675,446
文科,2021,535,22676,23138,463
文科,2021,534,23139,23572,434
文科,2021,533,23573,24026,454
文科,2021,532,24027,24502,476
文科,2021,531,24503,24965,463
文科,2021,530,24966,25383,418
文科,2021,529,25384,25845,462
文科,2021,528,25846,26340,495
文科,2021,527,26341,26832,492
文科,2021,526,26833,27359,527
文科,2021,525,27360,27838,479
文科,2021,524,27839,28352,514
文科,2021,523,28353,28896,544
文科,2021,522,28897,29387,491
文科,2021,521,29388,29871,484
文科,2021,520,29872,30375,504
文科,2021,519,30376,30883,508
文科,2021,518,30884,31413,530
文科,2021,517,31414,31906,493
文科,2021,516,31907,32447,541
文科,2021,515,32448,32965,518
文科,2021,514,32966,33479,514
文科,2021,513,33480,34013,534
文科,2021,512,34014,34554,541
文科,2021,511,34555,35136,582
文科,2021,510,35137,35660,524
文科,2021,509,35661,36167,507
文科,2021,508,36168,36754,587
文科,2021,507,36755,37292,538
文科,2021,506,37293,37856,564
文科,2021,505,37857,38399,543
文科,2021,504,38400,38968,569
文科,2021,503,38969,39505,537
文科,2021,502,39506,40084,579
文科,2021,501,40085,40635,551
文科,2021,500,40636,41170,535
文科,2021,499,41171,41773,603
文科,2021,498,41774,42343,570
文科,2021,497,42344,42875,532
文科,2021,496,42876,43469,594
文科,2021,495,43470,44012,543
文科,2021,494,44013,44640,628
文科,2021,493,44641,45231,591
文科,2021,492,45232,45829,598
文科,2021,491,45830,46387,558
文科,2021,490,46388,46970,583
文科,2021,489,46971,47553,583
文科,2021,488,47554,48141,588
文科,2021,487,48142,48721,580
文科,2021,486,48722,49239,518
文科,2021,485,49240,49847,608
文科,2021,484,49848,50428,581
文科,2021,483,50429,51032,604
文科,2021,482,51033,51662,630
文科,2021,481,51663,52236,574
文科,2021,480,52237,52818,582
文科,2021,479,52819,53440,622
文科,2021,478,53441,54043,603
文科,2021,477,54044,54657,614
文科,2021,476,54658,55264,607
文科,2021,475,55265,55861,597
文科,2021,474,55862,56440,579
文科,2021,473,56441,57033,593
文科,2021,472,57034,57646,613
文科,2021,471,57647,58221,575
文科,2021,470,58222,58827,606
文科,2021,469,58828,59426,599
文科,2021,468,59427,59998,572
文科,2021,467,59999,60616,618
文科,2021,466,60617,61232,616
文科,2021,465,61233,61826,594
文科,2021,464,61827,62428,602
文科,2021,463,62429,63012,584
文科,2021,462,63013,63609,597
文科,2021,461,63610,64225,616
文科,2021,460,64226,64882,657
文科,2021,459,64883,65464,582
文科,2021,458,65465,66062,598
文科,2021,457,66063,66623,561
文科,2021,456,66624,67271,648
文科,2021,455,67272,67848,577
文科,2021,454,67849,68472,624
文科,2021,453,68473,69096,624
文科,2021,452,69097,69737,641
文科,2021,451,69738,70342,605
文科,2021,450,70343,70900,558
文科,2021,449,70901,71486,586
文科,2021,448,71487,72097,611
文科,2021,447,72098,72694,597
文科,2021,446,72695,73294,600
文科,2021,445,73295,73930,636
文科,2021,444,73931,74516,586
文科,2021,443,74517,75064,548
文科,2021,442,75065,75659,595
文科,2021,441,75660,76277,618
文科,2021,440,76278,76858,581
文科,2021,439,76859,77445,587
文科,2021,438,77446,78059,614
文科,2021,437,78060,78669,610
文科,2021,436,78670,79285,616
文科,2021,435,79286,79885,600
文科,2021,434,79886,80465,580
文科,2021,433,80466,81079,614
文科,2021,432,81080,81666,587
文科,2021,431,81667,82244,578
文科,2021,430,82245,82822,578
文科,2021,429,82823,83430,608
文科,2021,428,83431,84034,604
文科,2021,427,84035,84652,618
文科,2021,426,84653,85230,578
文科,2021,425,85231,85828,598
文科,2021,424,85829,86424,596
文科,2021,423,86425,86993,569
文科,2021,422,86994,87579,586
文科,2021,421,87580,88153,574
文科,2021,420,88154,88670,517
文科,2021,419,88671,89228,558
文科,2021,418,89229,89773,545
文科,2021,417,89774,90328,555
文科,2021,416,90329,90912,584
文科,2021,415,90913,91416,504
文科,2021,414,91417,91977,561
文科,2021,413,91978,92533,556
文科,2021,412,92534,93095,562
文科,2021,411,93096,93614,519
文科,2021,410,93615,94138,524
文科,2021,409,94139,94655,517
文科,2021,408,94656,95169,514
文科,2021,407,95170,95680,511
文科,2021,406,95681,96162,482
文科,2021,405,96163,96663,501
文科,2021,404,96664,97159,496
文科,2021,403,97160,97670,511
文科,2021,402,97671,98164,494
文科,2021,401,98165,98635,471
文科,2021,400,98636,99127,492
文科,2021,399,99128,99588,461
文科,2021,398,99589,100049,461
文科,2021,397,100050,100522,473
文科,2021,396,100523,101000,478
文科,2021,395,101001,101437,437
文科,2021,394,101438,101869,432
文科,2021,393,101870,102317,448
文科,2021,392,102318,102761,444
文科,2021,391,102762,103167,406
文科,2021,390,103168,103586,419
文科,2021,389,103587,104024,438
文科,2021,388,104025,104442,418
文科,2021,387,104443,104881,439
文科,2021,386,104882,105277,396
文科,2021,385,105278,105637,360
文科,2021,384,105638,106047,410
文科,2021,383,106048,106459,412
文科,2021,382,106460,106854,395
文科,2021,381,106855,107231,377
文科,2021,380,107232,107571,340
文科,2021,379,107572,107962,391
文科,2021,378,107963,108320,358
文科,2021,377,108321,108661,341
文科,2021,376,108662,108997,336
文科,2021,375,108998,109343,346
文科,2021,374,109344,109678,335
文科,2021,373,109679,109977,299
文科,2021,372,109978,110313,336
文科,2021,371,110314,110623,310
文科,2021,370,110624,110944,321
文科,2021,369,110945,111277,333
文科,2021,368,111278,111591,314
文科,2021,367,111592,111904,313
文科,2021,366,111905,112222,318
文科,2021,365,112223,112519,297
文科,2021,364,112520,112816,297
文科,2021,363,112817,113093,277
文科,2021,362,113094,113390,297
文科,2021,361,113391,113679,289
文科,2021,360,113680,113945,266
文科,2021,359,113946,114203,258
文科,2021,358,114204,114459,256
文科,2021,357,114460,114685,226
文科,2021,356,114686,114931,246
文科,2021,355,114932,115192,261
文科,2021,354,115193,115427,235
文科,2021,353,115428,115666,239
文科,2021,352,115667,115914,248
文科,2021,351,115915,116119,205
文科,2021,350,116120,116358,239
文科,2021,349,116359,116593,235
文科,2021,348,116594,116827,234
文科,2021,347,116828,117012,185
文科,2021,346,117013,117222,210
文科,2021,345,117223,117428,206
文科,2021,344,117429,117619,191
文科,2021,343,117620,117802,183
文科,2021,342,117803,117997,195
文科,2021,341,117998,118210,213
文科,2021,340,118211,118402,192
